ParamSet_id,Param_id,Distribution,Param1,Param2,Param3,Param4,Param5
*,load_Alpha,uniform_minmax,2,2,,,
*,load_Beta,uniform_minmax,2,3,,,
LResid*,load_ActiveMotorShare,uniform_minmax,0.01,0.2,,,
LResid*,load_RrPu,uniform_minmax,0.03,0.13,,,
LResid*,load_RsPu,uniform_minmax,0.03,0.13,,,
LResid*,load_XmPu,uniform_minmax,1.8,3,,,
LResid*,load_XrPu,uniform_minmax,0.07,0.15,,,
LResid*,load_XsPu,uniform_minmax,0.07,0.15,,,
LResid*,load_H,uniform_minmax,0.26,1,,,
LCom*,load_ActiveMotorShare,uniform_minmax,0.2,0.4,,,
LCom*,load_RrPu,uniform_minmax,0.01,0.05,,,
LCom*,load_RsPu,uniform_minmax,0.01,0.05,,,
LCom*,load_XmPu,uniform_minmax,2.5,4,,,
LCom*,load_XrPu,uniform_minmax,0.06,0.1,,,
LCom*,load_XsPu,uniform_minmax,0.06,0.2,,,
LCom*,load_H,uniform_minmax,0.28,1.5,,,
PV*,ibg_IMaxPu,uniform_minmax,1.1,1.2,,,
PV*,ibg_UQPrioPu,uniform_minmax,0.1,0.15,,,
PV*,ibg_US1,uniform_minmax,0.85,0.95,,,
PV*,ibg_US2,uniform_minmax,1.05,1.1,,,
PV*,ibg_kRCI,uniform_minmax,2,6,,,
PV*,ibg_kRCA,uniform_minmax,2,6,,,
PV*,ibg_tG,uniform_minmax,0.05,0.2,,,
PV*,ibg_Tm,uniform_minmax,0.05,0.2,,,
PV*,ibg_IpSlewMaxPu,uniform_minmax,0.2,0.5,,,
PV*,ibg_ULVRTMinPu,uniform_minmax,0,0,,,
PV*,ibg_ULVRTIntPu,uniform_minmax,0.3,0.5,,,
PV*,ibg_ULVRTArmingPu,uniform_minmax,0.8,0.9,,,
PV*,ibg_tLVRTMin,uniform_minmax,0.15,0.15,,,
PV*,ibg_tLVRTInt,uniform_minmax,0.7,0.7,,,
PV*,ibg_tLVRTMax,uniform_minmax,1.5,1.5,,,
PV*,ibg_OmegaMaxPu,uniform_minmax,1.02,1.05,,,
PV*,ibg_OmegaDeadBandPu,uniform_minmax,1.01,1.02,,,
PV*,ibg_OmegaMinPu,uniform_minmax,0.95,0.98,,,
PV*,ibg_UPLLFreezePu,uniform_minmax,0.1,0.15,,,
PV*,ibg_PLLFreeze_Ki,uniform_minmax,10,20,,,
PV*,ibg_PLLFreeze_Kp,uniform_minmax,2,5,,,
WT*,ibg_IMaxPu,uniform_minmax,1.1,1.2,,,
WT*,ibg_UQPrioPu,uniform_minmax,0.1,0.15,,,
WT*,ibg_US1,uniform_minmax,0.85,0.95,,,
WT*,ibg_US2,uniform_minmax,1.05,1.1,,,
WT*,ibg_kRCI,uniform_minmax,2,6,,,
WT*,ibg_kRCA,uniform_minmax,2,6,,,
WT*,ibg_tG,uniform_minmax,0.05,0.2,,,
WT*,ibg_Tm,uniform_minmax,0.05,0.2,,,
WT*,ibg_IpSlewMaxPu,uniform_minmax,0.2,0.5,,,
WT*,ibg_ULVRTMinPu,uniform_minmax,0,0,,,
WT*,ibg_ULVRTIntPu,uniform_minmax,0.3,0.5,,,
WT*,ibg_ULVRTArmingPu,uniform_minmax,0.8,0.9,,,
WT*,ibg_tLVRTMin,uniform_minmax,0.15,0.15,,,
WT*,ibg_tLVRTInt,uniform_minmax,0.7,0.7,,,
WT*,ibg_tLVRTMax,uniform_minmax,1.5,1.5,,,
WT*,ibg_OmegaMaxPu,uniform_minmax,1.02,1.05,,,
WT*,ibg_OmegaDeadBandPu,uniform_minmax,1.01,1.02,,,
WT*,ibg_OmegaMinPu,uniform_minmax,0.95,0.98,,,
WT*,ibg_UPLLFreezePu,uniform_minmax,0.1,0.15,,,
WT*,ibg_PLLFreeze_Ki,uniform_minmax,10,20,,,
WT*,ibg_PLLFreeze_Kp,uniform_minmax,2,5,,,
